t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s,dq_filt_rad_s
0.835678,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000,-0.167267675
0.840649,to_zero_prehold,2.906516790,-0.245437503,-0.003906250,2.906708717,0.000000000,-0.2019521828
0.845658,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000,-0.2260971221
0.850658,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000,-0.2515032051
0.855650,to_zero_prehold,2.906325102,-0.589049995,0.000000000,2.906708717,0.000000000,-0.2902768118
0.860656,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.2566365469
0.865651,to_zero_prehold,2.906516790,-0.196349993,0.003906250,2.906708717,0.000000000,-0.2257106023
0.870657,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000,-0.2019008097
0.875655,to_zero_prehold,2.906325102,-0.613593757,0.000000000,2.906708717,0.000000000,-0.2567692939
0.880650,to_zero_prehold,2.906325102,-0.564506233,0.000000000,2.906708717,0.000000000,-0.225153976
0.885658,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.111289607
0.890656,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000,-0.05414201236
0.895654,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.03986028833
0.900652,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000,-0.06498296319
0.905657,to_zero_prehold,2.906516790,-0.147262499,0.003906250,2.906708717,0.000000000,-0.05826611641
0.910650,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000,-0.02997915225
0.915657,to_zero_prehold,2.906900406,0.417243749,-0.003906250,2.906708717,0.000000000,0.0505286076
0.920746,to_zero_prehold,2.906900406,0.441787511,0.000000000,2.906708717,0.000000000,0.04215535443
0.925663,to_zero_prehold,2.906516790,-0.245437503,0.003906250,2.906708717,0.000000000,-0.06307703243
0.930652,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1241105807
0.935653,to_zero_prehold,2.906516790,-0.245437503,-0.003906250,2.906708717,0.000000000,-0.1557380353
0.940652,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1656249654
0.945650,to_zero_prehold,2.906516790,-0.220893756,0.003906250,2.906708717,0.000000000,-0.1561676732
0.950650,to_zero_prehold,2.906516790,-0.196349993,-0.003906250,2.906708717,0.000000000,-0.1310226736
0.955655,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.09004424466
0.960652,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000,-0.08873596299
0.965731,to_zero_prehold,2.906708717,-0.368156254,0.000000000,2.906708717,0.000000000,-0.1327294253
0.970687,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000,-0.1196623176
0.975655,to_zero_prehold,2.906325102,0.024543749,0.000000000,2.906708717,0.000000000,-0.06421361635
0.980652,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.03027710165
0.985653,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.03342230197
0.990652,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000,-0.06251414857
0.995652,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000,-0.1365010265
1.000652,to_zero,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1721875208
1.005633,to_zero,2.906516790,-0.245437503,0.000000000,2.906674704,0.000000000,-0.1901203642
1.010650,to_zero,2.906516790,-0.220893756,-0.003906250,2.906572667,0.000000000,-0.1946459528
1.015632,to_zero,2.906516790,-0.220893756,0.000000000,2.906402611,0.000000000,-0.1928098425
1.020699,to_zero,2.906516790,-0.171806246,-0.003906250,2.906164542,0.000000000,-0.1841670138
1.025690,to_zero,2.906516790,-0.196349993,-0.003906250,2.905858474,0.000000000,-0.1785200733
1.030634,to_zero,2.906516790,-0.171806246,-0.007812500,2.905484419,0.000000000,-0.1685516822
1.035678,to_zero,2.906516790,-0.220893756,-0.003906250,2.905042396,0.000000000,-0.1577944803
1.040646,to_zero,2.906708717,0.122718751,-0.007812500,2.904532425,0.000000000,-0.1317438614
1.045636,to_zero,2.906516790,-0.245437503,-0.011718750,2.903954530,0.000000000,-0.1673675292
1.050644,to_zero,2.906325102,-0.441787511,-0.007812500,2.903308738,0.000000000,-0.1840693212
1.055638,to_zero,2.906516790,0.000000000,-0.011718750,2.902595080,0.000000000,-0.1383077698
1.060637,to_zero,2.906325102,-0.319068760,-0.007812500,2.901813588,0.000000000,-0.1260679723
1.065733,to_zero,2.906516790,0.122718751,-0.011718750,2.900964299,0.000000000,-0.06705043476
1.070660,to_zero,2.906516790,0.098174997,-0.019531250,2.900047253,0.000000000,-0.05402739152
